word1,word2,gold,similarity
admission,ticket,5.536,-0.05154482563474012
alcohol,chemistry,4.125,0.24637977064667793
aluminum,metal,6.625,0.23476121178134648
announcement,effort,2.0625,0.12858668979163768
announcement,news,7.1875,0.16765980817611081
announcement,production,1.6875,0.009314860451841748
announcement,warning,4.625,-0.026915394511101868
architecture,century,1.929,0.022369884242965557
arrangement,accommodation,5.125,0.05318725388421343
arrival,hotel,2.1875,0.1653301052612486
atmosphere,landscape,3.5625,0.0974413496290359
attempt,peace,0.9375,0.0891969989722153
baby,mother,5.25,0.4780457264098836
bank,money,6.625,0.08044834458353273
baseball,season,3.2565,0.3222041640902935
bed,closet,2.25,0.3048440238457013
bird,crane,4.8125,0.08974465033845545
bishop,rabbi,5.375,-0.09911415241698511
board,recommendation,1.25,0.7461172251354639
book,library,5.3125,0.43924739511465344
book,paper,5.875,0.381083784698343
boy,lad,7.844,-0.02857297097958916
bread,butter,4.1875,0.4498018744073553
brother,monk,4.25,-0.023293880976485996
calculation,computation,8.0565,0.09800521675591725
canyon,landscape,5.25,0.1066858316974329
car,automobile,9.369,0.2624611640420477
car,flight,2.4375,0.1306920799637544
cell,phone,6.25,0.07812595529270965
century,nation,2.1875,0.11936131510334193
century,year,4.0,0.21157151596795576
championship,tournament,7.5,0.23698368378702508
change,attitude,3.375,0.2390371252635249
chord,smile,0.8125,-0.054454073044633615
closet,clothes,4.625,0.28558250454560286
coast,forest,2.125,0.1037946446956497
coast,hill,2.3125,0.5369460109989641
coast,shore,8.2755,0.55887844766633
company,stock,3.75,0.2361900530659327
competition,price,3.0,0.34662469177580685
computer,laboratory,3.375,-0.02557412678151378
computer,news,1.6875,0.018296537973303457
consumer,confidence,1.6875,0.15117452511560062
consumer,energy,2.75,0.0967729729455495
country,citizen,4.3125,0.21281324905049498
crane,implement,2.125,0.06838443463445838
credit,card,4.5625,0.18265465691337818
credit,information,3.644,0.15437491006724227
cup,article,1.3125,-0.08967229419790801
cup,coffee,5.0625,0.6688441429557388
cup,drink,4.75,0.4151493803836178
cup,entity,1.375,0.07875204514559817
cup,food,1.875,0.08013054697378072
cup,liquid,3.75,0.2356565833305935
cup,object,4.25,0.07688456987033744
cup,substance,1.9375,0.08285625134272073
currency,market,4.3125,0.2640987167610473
day,dawn,4.625,0.08943950220685176
day,summer,3.125,0.48408819761400157
death,row,1.6875,0.07609230833004718
delay,news,1.4375,0.05222041908376625
development,issue,3.3125,0.12791773907310303
direction,combination,2.0625,0.1536342574382751
disability,death,2.3125,0.014027495498391378
disaster,area,1.625,0.10883233119239395
discovery,space,3.9375,-0.10236762238345906
dividend,calculation,5.1875,0.02652251733266243
dividend,payment,5.5,0.015066851489819488
doctor,liability,2.5,0.0763119460904104
doctor,nurse,6.125,0.07130857942377881
doctor,personnel,3.5625,0.14107300244179527
dollar,buck,8.5625,0.1482826702497913
dollar,loss,2.1875,0.19984882357574038
dollar,profit,5.375,-0.009517997571727145
drink,car,0.3125,0.3635941648493118
drink,ear,0.375,0.06520503218097963
drink,eat,4.125,0.13141578426359357
drink,mother,0.5625,0.16828078451322753
drink,mouth,4.7375,0.13179349007906657
drug,abuse,4.9375,-0.11861338829766019
energy,crisis,3.0505,0.003601061893526342
energy,laboratory,2.7565,-0.03394834289448458
energy,secretary,1.0625,0.06956916955212532
equipment,maker,2.5625,0.20889157642697667
experience,music,2.3125,0.29828828701817234
family,planning,1.75,0.05382532779263444
fbi,fingerprint,4.0625,-0.06606200567759728
fbi,investigation,5.0625,0.10030272314123917
fertility,egg,5.1875,-0.0376560383347512
five,month,1.069,0.16327292608617386
focus,life,2.3125,0.11715701872374508
food,fruit,7.0625,0.2744267369250634
food,preparation,3.75,0.05447224093001594
football,basketball,4.125,0.13872386302905582
football,tennis,3.6875,0.3275883133144436
furnace,stove,8.0625,0.04554911475799614
game,defeat,3.6875,0.19175876913476178
game,round,5.1875,0.3914710088406822
game,series,4.5625,0.26307040794229275
game,team,4.625,0.3948198126804256
game,victory,4.6875,0.3574470810256344
glass,magician,1.0,0.08782974933823978
glass,metal,2.1875,0.31382858541590536
government,crisis,3.625,0.01778116406575461
governor,interview,1.625,0.08095106052907271
governor,office,4.3125,0.22326754701839582
grocery,money,3.375,0.26630844392029834
harvard,yale,4.875,0.5512596250230668
holy,sex,1.069,-0.0660798938610418
hotel,reservation,5.0625,0.09272469383937067
hundred,percent,4.4375,0.11673258332125691
image,surface,1.8125,0.11394462028748943
investigation,effort,3.75,0.3476346495033606
investor,earning,5.0625,-0.09035053713182552
japanese,american,3.125,0.07767069039897617
journal,association,2.625,0.17617203236398246
journey,car,4.0625,0.2858058862936488
journey,voyage,7.5,0.20168955387251666
king,queen,5.6875,0.04328517398180709
lad,brother,4.9375,0.010517717403668444
law,lawyer,6.1875,0.4442527281009603
lawyer,evidence,3.9375,0.0482251657302661
liability,insurance,4.375,0.19325072512645994
life,death,4.375,0.35452084688309893
life,lesson,3.1875,0.14824738380896196
life,term,3.8125,0.1986364497218567
line,insurance,1.3125,0.034878133229810405
liquid,water,7.0625,0.3573544384772109
listing,category,5.375,0.0658458880804943
love,sex,6.375,0.24348732120868574
lover,quarrel,1.6875,0.17959017092976393
luxury,car,3.3125,0.07459016352843396
man,governor,4.25,0.07720789478418745
man,woman,4.5,0.17660026937621218
mexico,brazil,3.9375,-0.0303430488591767
midday,noon,8.9375,0.08959544930624753
mile,kilometer,6.9375,0.34796495824748724
minister,party,3.0625,0.19923074660398454
ministry,culture,2.844,0.1983141087143057
minority,peace,1.1875,-0.004216952979563623
money,bank,6.0,0.08044834458353273
money,cash,8.875,0.21167211029592262
money,cash,9.0315,0.21167211029592262
money,currency,7.9375,0.04163458229318206
money,deposit,5.375,0.216615103478526
money,dollar,7.6875,0.1875866724239663
money,laundering,4.4565,-0.057031617137484635
money,operation,1.875,0.14012191290915055
money,possession,4.3125,0.05682743054056235
money,property,5.0625,0.17920786749119302
money,wealth,7.0625,0.000428574293465749
money,withdrawal,4.0625,0.054551054849984626
monk,slave,2.5625,0.028000425688296075
month,hotel,1.0625,0.07824730109655538
morality,importance,2.5,0.0575859549669033
morality,marriage,2.375,0.19787091853571015
movie,critic,3.1875,0.1561025548816924
movie,star,4.3125,-0.06211258488248445
movie,theater,6.125,0.0712541776682666
museum,theater,3.875,0.16663365188732038
music,project,3.1875,0.12946069998996282
nature,environment,6.9375,0.4028733893384061
nature,man,2.9375,0.26043016608167563
network,hardware,3.8125,0.10120709372500707
news,report,6.8125,0.3193851993527168
noon,string,0.6875,0.07762884312976852
observation,architecture,1.875,0.018256301514160828
oil,stock,2.9375,0.16347648765382589
opera,industry,1.194,0.20285586314801196
opera,performance,4.875,0.3856135786969857
peace,atmosphere,2.1875,-0.1270791187891123
peace,insurance,1.7565,-0.0018465215164604686
peace,plan,1.5,0.03493451088440831
phone,equipment,4.0315,0.08361283304040913
plane,car,3.5625,0.16564294231961918
planet,galaxy,6.125,-0.11044715058262743
planet,moon,6.0,0.6766692710911905
planet,people,3.375,0.04804401876745753
planet,space,5.3125,0.09875630540671554
planet,star,5.625,0.3604790180253002
planet,sun,5.8125,0.504778204356914
population,development,3.4755,0.07793391885472857
possibility,girl,1.069,-0.04766344035454688
practice,institution,3.5625,0.2923048226210759
precedent,collection,1.0625,0.0037774054032417436
precedent,example,5.4375,0.03591278076264081
precedent,group,1.5625,-0.007472583278326603
precedent,information,2.375,0.04137023332727095
precedent,law,4.375,0.21338507671712378
prejudice,recognition,3.3125,0.27980970897099167
preservation,world,2.4375,0.04800578489032167
president,medal,1.25,-0.019597443163087376
problem,airport,1.3125,0.05912021903202325
problem,challenge,6.875,0.23313439689750576
production,crew,3.1875,0.00626037363482375
production,hike,0.9375,0.06299984589669269
professor,doctor,6.125,0.09829242643593974
profit,loss,3.875,0.011907044576260252
profit,warning,1.6875,0.04107631171811183
psychology,anxiety,3.75,0.03845754312036044
psychology,clinic,4.344,-0.205498222635959
psychology,depression,5.25,-0.025751074682529813
psychology,discipline,3.3125,0.21905812904930197
psychology,doctor,5.294,-0.0029105317934326465
psychology,fear,3.1875,0.05859824258019676
psychology,freud,5.6875,0.1858411322157792
psychology,health,4.3625,-0.014752353891463442
psychology,mind,5.4375,0.2313526824026283
psychology,science,5.9505,0.18160077039240294
reason,criterion,4.625,0.019583323220082684
record,number,3.5,0.07636077164876018
registration,arrangement,3.4375,0.13538752792542255
report,gain,2.25,0.004188880610296043
rock,jazz,5.5,0.10979474139974901
school,center,3.875,0.05824313878405973
secretary,senate,3.75,0.37348739559625377
seven,series,2.25,0.15651099768966226
shower,flood,3.5625,0.10257129214231778
situation,conclusion,3.5625,0.4111501325215725
situation,isolation,1.9375,-0.12863147810193787
skin,eye,2.75,0.5361215248805691
smart,student,3.625,0.04443225533700838
smart,stupid,3.25,0.23145508628622438
soap,opera,3.5625,-0.0003122312740672979
space,chemistry,1.8875,0.290215133000255
space,world,4.9375,0.08292549907871419
start,match,2.5,0.14535338643178605
start,year,1.625,0.11495778600517491
stock,cd,2.4375,0.07783991092095385
stock,egg,1.4375,0.05613478307207114
stock,life,1.8125,0.0037957586285815325
stock,live,1.875,0.01526532578307093
stock,market,4.875,0.6095766223745049
stock,phone,0.75,-0.013647485580602936
street,avenue,7.6875,0.6540512135653876
street,block,6.5625,0.49082031090712885
street,place,4.5,0.2838949536810215
stroke,hospital,3.625,0.03565578275180922
student,professor,4.9375,0.6761195110436284
sugar,approach,0.9375,0.17443988094228016
summer,drought,3.3125,0.12913905432330755
summer,nature,4.0,0.04823985152917273
telephone,communication,6.6875,0.11232410499439248
television,film,5.75,0.12207477854525083
television,radio,4.625,0.037674303425513
tennis,racket,5.0,0.125693590647213
territory,kilometer,2.1875,0.0283036901075832
territory,surface,3.594,0.00811439918433506
theater,history,1.9375,0.21513457074410766
tiger,animal,6.9375,0.2028752851497284
tiger,cat,6.75,-0.0004569232753535126
tiger,organism,3.0625,0.011148347205969982
tiger,tiger,10.0,1.0
tiger,zoo,4.9375,-0.011451561045490813
tool,implement,5.3125,-0.011054397580273274
train,car,3.5,0.3334131113433495
travel,activity,4.1875,0.025792003421017257
treatment,recovery,5.3125,-0.014800593113320607
type,kind,8.4375,0.318394270919992
victim,emergency,2.6875,0.059116680208472154
viewer,serial,2.5625,-0.11080247968122045
weapon,secret,2.5,0.04823256972071647
weather,forecast,5.4375,-0.0650415238529165
wednesday,news,1.125,0.17738310853114153
wood,forest,7.9375,0.03692242030572656
word,similarity,0.8125,0.0246789601228985

# SpearmanCorrelation,0.2013384395014537
# MeanPredSim,0.14665800875277085
# VarPredSim,0.02904940582406729
